Eng,Ja,Rating,Area,Blog
Kifuneugenta,貴船 右源太,3.52,"
              鞍馬・貴船            ",https://tabelog.com/tw/kyoto/A2601/A260502/26001598/
Ajimitorimarumen,味見鶏まるめん,3.52,"
              向日・八幡・久御山            ",https://tabelog.com/tw/kyoto/A2607/A260702/26000323/
Iori,IORI 京都大丸店,3.52,"
              河原町・木屋町・先斗町            ",https://tabelog.com/tw/kyoto/A2601/A260201/26005003/
Membisutoronakano,麺ビストロ Nakano,3.52,"
              御所周邊            ",https://tabelog.com/tw/kyoto/A2601/A260202/26028329/
SHIN-SETSU,シンセツ,3.52,"
              河原町・木屋町・先斗町            ",https://tabelog.com/tw/kyoto/A2601/A260201/26013984/
odensemmontembengaraya,おでん専門店 べんがらや,3.52,"
              伏見稻荷・伏見桃山            ",https://tabelog.com/tw/kyoto/A2601/A260601/26007087/
AL CAMINO,ピッツェリア・アル・カミーノ,3.52,"
              壬生・二條城周邊            ",https://tabelog.com/tw/kyoto/A2601/A260203/26007481/
maedako-hi-,前田珈琲 高台寺店,3.52,"
              祇園・清水寺・東山            ",https://tabelog.com/tw/kyoto/A2601/A260301/26013648/
Tengudouuminoseipansho,天狗堂海野製パン所,3.52,"
              西院・桂            ",https://tabelog.com/tw/kyoto/A2601/A260401/26005572/
Nijouwakasaya,二條若狭屋,3.52,"
              壬生・二條城周邊            ",https://tabelog.com/tw/kyoto/A2601/A260203/26007331/
D&DEPARTMENT,ディアンドデパートメント 京都店,3.52,"
              河原町・木屋町・先斗町            ",https://tabelog.com/tw/kyoto/A2601/A260201/26024860/
Takahashi,たかはし,3.52,"
              河原町・木屋町・先斗町            ",https://tabelog.com/tw/kyoto/A2601/A260201/26004934/
Tekunopan,テクノパン,3.52,"
              向日・八幡・久御山            ",https://tabelog.com/tw/kyoto/A2607/A260702/26016591/
tokotontorikotokoto,とことんとりコトコト,3.52,"
              上鳥羽            ",https://tabelog.com/tw/kyoto/A2601/A260604/26035366/
Saryousuisen,茶寮翠泉 烏丸御池店,3.52,"
              御所周邊            ",https://tabelog.com/tw/kyoto/A2601/A260202/26023210/
